,symb_name,symb_code,trans_date,target_date,Less than -7.0%,-7.0% ~ -3.0%,-3.0% ~ -1.0%,-1.0% ~ 1.0%,1.0% ~ 3.0%,3.0% ~ 7.0%,7.0% and over,predicted_strength
0,삼성전자,005930,2017-11-01,2017-11-02 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
1,삼성전자,005930,2017-11-02,2017-11-03 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
2,삼성전자,005930,2017-11-03,2017-11-06 or next working day,0.00,0.00,0.00,0.00,100.00,0.00,0.00,Very strong
3,삼성전자,005930,2017-11-06,2017-11-07 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
4,삼성전자,005930,2017-11-07,2017-11-08 or next working day,0.00,0.00,0.00,0.00,100.00,0.00,0.00,Very strong
5,삼성전자,005930,2017-11-08,2017-11-09 or next working day,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Very strong
6,삼성전자,005930,2017-11-09,2017-11-10 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
7,삼성전자,005930,2017-11-10,2017-11-13 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
8,삼성전자,005930,2017-11-13,2017-11-14 or next working day,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Very strong
9,삼성전자,005930,2017-11-14,2017-11-15 or next working day,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Very strong
10,삼성전자,005930,2017-11-15,2017-11-16 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
11,삼성전자,005930,2017-11-16,2017-11-17 or next working day,0.00,0.00,0.00,0.00,100.00,0.00,0.00,Very strong
12,삼성전자,005930,2017-11-17,2017-11-20 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
13,삼성전자,005930,2017-11-20,2017-11-21 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
14,삼성전자,005930,2017-11-21,2017-11-22 or next working day,0.00,0.00,0.00,0.00,100.00,0.00,0.00,Very strong
15,삼성전자,005930,2017-11-22,2017-11-23 or next working day,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Very strong
16,삼성전자,005930,2017-11-23,2017-11-24 or next working day,0.00,0.00,0.00,0.00,100.00,0.00,0.00,Very strong
17,삼성전자,005930,2017-11-24,2017-11-27 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
18,삼성전자,005930,2017-11-27,2017-11-28 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
19,삼성전자,005930,2017-11-28,2017-11-29 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
20,삼성전자,005930,2017-11-29,2017-11-30 or next working day,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Very strong
21,삼성전자,005930,2017-11-30,2017-12-01 or next working day,0.00,0.00,0.00,0.00,100.00,0.00,0.00,Very strong
22,삼성전자,005930,2017-12-01,2017-12-04 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
23,삼성전자,005930,2017-12-04,2017-12-05 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
24,삼성전자,005930,2017-12-05,2017-12-06 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
25,삼성전자,005930,2017-12-06,2017-12-07 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
26,삼성전자,005930,2017-12-07,2017-12-08 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
27,삼성전자,005930,2017-12-08,2017-12-11 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
28,삼성전자,005930,2017-12-11,2017-12-12 or next working day,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Very strong
29,삼성전자,005930,2017-12-12,2017-12-13 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
30,삼성전자,005930,2017-12-13,2017-12-14 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
31,삼성전자,005930,2017-12-14,2017-12-15 or next working day,0.00,0.00,0.00,100.00,0.00,0.00,0.00,Very strong
